SubjectNo,SubjectID,Experiment,ParticipantGroup,DAT_Directory,VerbCond,TrainingSet,VideoFile,VideoRelease,Gender,Jittered_DaysOld,Age.Years,Age.Months,WhereConducted,Tester,Notes,InclusionDecision,ExcludeReason,Blind Code?,2nd Coder
1,pilot_adult1,Pilot1,Adult,./Pilot 1/all_pilots_adults/pilot_adult1/MPPCREATION_pilot_adult1.dat,,None,,No,,,,,,,,0,Pilot,,
2,pilot_adult4,Pilot1,Adult,./Pilot 1/all_pilots_adults/pilot_adult4/MPPCREATION_pilot_adult4.dat,,None,,No,,,,,,,,0,Pilot,,
3,pilot_adult3,Pilot1,Adult,./Pilot 1/all_pilots_adults/pilot_adult3/MPPCREATION_pilot_adult3.dat,,None,,No,,,,,,,,0,Pilot,,
4,pilot_adult2,Pilot1,Adult,./Pilot 1/all_pilots_adults/pilot_adult2/MPPCREATION_pilot_adult2.dat,,None,,No,,,,,,,,0,Pilot,,
5,pilot_adult5,Pilot1,Adult,./Pilot 1/all_pilots_adults/pilot_adult5/MPPCREATION_pilot_adult5.dat,,None,,No,,,,,,,,0,Pilot,,
6,pilot_0725,Pilot1,Child,./Pilot 1/pilot_0725/MPPCREATION_pilot_0725.dat,,None,,No,,,,,,,,0,Pilot,,
7,pilot_0728,Pilot1,Child,./Pilot 1/pilot_0728/MPPCREATION_pilot_0728.dat,,None,,No,,,,,,,,0,Pilot,,
8,pilot_0803,Pilot1,Child,./Pilot 1/pilot_0803/MPPCREATION_pilot_0803.dat,,None,,No,,,,,,,,0,Pilot,,
9,pilot_0804,Pilot1,Child,./Pilot 1/pilot_0804/MPPCREATION_pilot_0804.dat,,None,,No,,,,,,,,0,Pilot,,
10,pilot_0807,Pilot1,Child,./Pilot 1/pilot_0807/MPPCREATION_pilot_0807.dat,,None,,No,,,,,,,,0,Pilot,,
11,pilot_0920_x2,Pilot1,Child,./Pilot 1/pilot_0920_x2/data_MPPCREATION_pilot_0920_x2.dat,,None,,No,,,,,,,,0,Pilot,,
12,pilot_0927_x3,Pilot1,Child,./Pilot 1/pilot_0927_x3/data_MPPCREATION_pilot_0927_x3.dat,,None,,No,,,,,,,,0,Pilot,,
13,pilot_1004_4pm,Pilot1,Child,./Pilot 1/pilot_1004_4pm/data_MPPCREATION_pilot_1004_4pm.dat,,None,,No,,,,,,,,0,Pilot,,
14,pilot_1004x2,Pilot1,Child,./Pilot 1/pilot_1004x2/data_MPPCREATION_pilot_1004x2.dat,,None,,No,,,,,,,,0,Pilot,,
15,pilot_1005,Pilot1,Child,./Pilot 1/pilot_1005/data_MPPCREATION_pilot_1005.dat,,None,,No,,,,,,,,0,Pilot,,
16,pilot_1012_10am,Pilot1,Child,./Pilot 1/pilot_1012_10am/data_MPPCREATION_pilot_1012_10am.dat,,None,,No,,,,,,,,0,Pilot,,
17,pilot_1012_9am,Pilot1,Child,./Pilot 1/pilot_1012_9am/data_MPPCREATION_pilot_1012_9am.dat,,None,,No,,,,,,,,0,Pilot,,
18,pilot_1016_10am,Pilot1,Child,./Pilot 1/pilot_1016_10am/data_MPPCREATION_pilot_1016_10am.dat,,None,,No,,,,,,,,0,Pilot,,
19,pilot_1016_9am,Pilot1,Child,./Pilot 1/pilot_1016_9am/data_MPPCREATION_pilot_1016_9am.dat,,None,,No,,,,,,,,0,Pilot,,
20,pilot_1023,Pilot1,Child,./Pilot 1/pilot_1023/data_MPPCREATION_pilot_1023.dat,,None,,No,,,,,,,,0,Pilot,,
21,pilot_1026,Pilot1,Child,./Pilot 1/pilot_1026/data_MPPCREATION_pilot_1026.dat,,None,,No,,,,,,,,0,Pilot,,
22,pilot_1030_10am,Pilot1,Child,./Pilot 1/pilot_1030_10am/data_MPPCREATION_pilot_1030_10am.dat,,None,,No,,,,,,,,0,Pilot,,
23,pilot_1030_12pm,Pilot1,Child,./Pilot 1/pilot_1030_12pm/data_MPPCREATION_pilot_1030_12pm.dat,,None,,No,,,,,,,,0,Pilot,,
24,practice_mk,Pilot1,Debug_Adult,./Pilot 1/extra_data_practice/practice_mk/data_MPPCREATION_practice_mk.dat,,None,,No,,,,,,,,0,Pilot,,
25,Lotte_worst_participant,Pilot1,Debug_Adult,./Pilot 1/extra_data_practice/Lotte_worst_participant/data_MPPCREATION_Lotte_worst_participant.dat,,None,,No,,,,,,,,0,Pilot,,
26,Lotte_perfect_participant,Pilot1,Debug_Adult,./Pilot 1/extra_data_practice/Lotte_perfect_participant/data_MPPCREATION_Lotte_perfect_participant.dat,,None,,No,,,,,,,,0,Pilot,,
27,Lotte_perfect_path,Pilot1,Debug_Adult,./Pilot 1/perfect_participants/Lotte_perfect_path/data_MPPCREATION_Lotte_perfect_path.dat,,None,,No,,,,,,,,0,Pilot,,
28,Lotte_perfect_manner,Pilot1,Debug_Adult,./Pilot 1/perfect_participants/Lotte_perfect_manner/data_MPPCREATION_Lotte_perfect_manner.dat,,None,,No,,,,,,,,0,Pilot,,
29,pilot_1101_4pm_x2,Pilot2 - redid timings,Child,./PILOT 2/pilot_1101_4pm_x2/data_MPPCREATION_pilot_1101_4pm_x2.dat,,None,,No,,,,,,,,0,Pilot,,
30,pilot_1107,Pilot2 - redid timings,Child,./PILOT 2/pilot_1107/data_MPPCREATION_pilot_1107.dat,,None,,No,,,,,,,,0,Pilot,,
31,pilot_1108,Pilot2 - redid timings,Child,./PILOT 2/pilot_1108/data_MPPCREATION_pilot_1108.dat,,None,,No,,,,,,,,0,Pilot,,
32,pilot_1109_10am,Pilot2 - redid timings,Child,./PILOT 2/pilot_1109_10am/data_MPPCREATION_pilot_1109_10am.dat,,None,,No,,,,,,,,0,Pilot,,
33,pilot_1115,Pilot2 - redid timings,Child,./PILOT 2/pilot_1115/data_MPPCREATION_pilot_1115.dat,,None,,No,,,,,,,,0,Pilot,,
34,pilot_1117,Pilot2 - redid timings,Child,./PILOT 2/pilot_1117/data_MPPCREATION_pilot_1117.dat,,None,,No,,,,,,,,0,Pilot,,
35,pilot_1120_10am,Pilot2 - redid timings,Child,./PILOT 2/pilot_1120_10am/data_MPPCREATION_pilot_1120_10am.dat,,None,,No,,,,,,,,0,Pilot,,
36,pilot_1120_11am,Pilot2 - redid timings,Child,./PILOT 2/pilot_1120_11am/data_MPPCREATION_pilot_1120_11am.dat,,None,,No,,,,,,,,0,Pilot,,
37,pilot1101_2pm,Pilot2 - redid timings,Child,./PILOT 2/pilot1101_2pm/data_MPPCREATION_pilot1101_2pm.dat,,None,,No,,,,,,,,0,Pilot,,
38,Kailee_manner_0228_1pm,Pilot3 - final timings,Debug_Adult,./Pilot 3/adult/newtiming_Kailee_manner_0228_1pm/data_MPPCREATION_Kailee_path_0228_1pm.dat,,None,,No,,,,,,,,0,Pilot,,
39,melissa_short_path,Pilot3 - final timings,Debug_Adult,./Pilot 3/adult/newtiming_melissa_short_path/data_MPPCREATION_melissa_short_path.dat,,None,,No,,,,,,,,0,Pilot,,
40,Kailee_path_0228,Pilot3 - final timings,Debug_Adult,./Pilot 3/adult/newtiming_Kailee_path_0228/data_MPPCREATION_Kailee_path_0228.dat,,None,,No,,,,,,,,0,Pilot,,
41,child_pilot_0306,Pilot3 - final timings,Child,./Pilot 3/child_pilot_0306,Manner,None,Not yet created,VR,F,935,2,6,WJH,Melissa,"Very focused child, but wiggly younger sibling.  Could not calibrate; child sitting very low to screen; data quality poor",0,Pilot,0,
